group,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL23,4.18002,,2.914834273461249e-05,0.001035268724712099
0,PLP2,4.1725025,,3.0127247660597344e-05,0.0010620511660857002
0,TRADD,4.172104,,3.0179972112326485e-05,0.0010620511660857002
0,MYC,4.170959,,3.0332043821056e-05,0.0010620511660857002
0,NBEAL1,4.132126,,3.594232354311128e-05,0.001251400335191142
0,EIF3H,4.066359,,4.775337002679596e-05,0.0016395323709199946
0,MGAT4A,4.0568995,,4.972844260555164e-05,0.0017026137135862
0,CD6,4.052469,,5.068001140353019e-05,0.0017256334461367303
0,COX6C,4.0046744,,6.21029975671202e-05,0.002085850679156537
0,RARRES3,4.0001435,,6.33040196256086e-05,0.0021204273240447756
0,EIF3E,3.998202,,6.38254452884499e-05,0.0021321148750411915
0,RPL41,3.9552867,,7.644292616609907e-05,0.002533068545343122
0,SIT1,3.9336298,,8.367260389288467e-05,0.002743218525506776
0,PASK,3.9241705,,8.702907110727637e-05,0.002845712483825227
0,RWDD1,3.9136658,,9.090545976167416e-05,0.002949059009591319
0,TOMM20,3.8325148,,0.0001268399728239365,0.004076180993708182
0,SEPT9,3.8322659,,0.00012696842092052186,0.004076180993708182
0,NDUFS5,3.8238022,,0.00013140931744026835,0.004207821667258334
0,VAMP2,3.7664988,,0.00016555291338475622,0.005219984717947926
0,CALM1,3.6981926,,0.00021714014049057674,0.006726446457302077
0,UBA52,3.6802697,,0.00023298744132826233,0.007199311937043307
0,EEF2,3.6689184,,0.00024357872572383025,0.007500811346406585
0,LINC00176,3.6530867,,0.0002591068152759591,0.007927129299036769
0,SH3YL1,3.6245096,,0.0002895103762506561,0.008813665641522438
0,ANKRD12,3.6228168,,0.000291412239673722,0.0088497672785435
0,CAMK4,3.6113162,,0.00030464689337824123,0.00920644401504905
0,RP11-51J9.5,3.6058397,,0.0003111450410139922,0.009379884651055959
0,NAP1L1,3.5673554,,0.0003606023265211338,0.010818069795634015
0,CUTA,3.5376332,,0.0004037305009419693,0.011995454306833511
0,SF1,3.5126905,,0.0004435939070293203,0.013116795911201911
0,MORF4L1,3.4971573,,0.0004702444723971746,0.013871650784794935
0,EEF1D,3.464199,,0.0005318128090159431,0.01553949484500486
0,ANP32B,3.4543414,,0.0005516384385352559,0.01608078089692397
0,C14orf64,3.4434383,,0.0005743674999066378,0.01670395835022598
0,EPHX2,3.4190931,,0.0006283022920607371,0.018186923489158572
0,NELL2,3.411227,,0.000646712459305812,0.01850316203013851
0,NUCB2,3.3939013,,0.0006890448587421557,0.019533473518470287
0,FUS,3.3927565,,0.0006919315002867285,0.019536386621105482
0,TMA7,3.392607,,0.0006923088462818934,0.019536386621105482
0,CORO1B,3.3645277,,0.0007667476220885464,0.021344595966248724
0,BCL11B,3.36169,,0.0007746704126049415,0.021516688314150732
0,PBXIP1,3.3441155,,0.0008254533668690965,0.022672452476671184
0,SBDS,3.3328142,,0.0008597233396171472,0.023561375781968825
0,RGL4,3.3241515,,0.0008868801346618275,0.02419831890600483
0,GIMAP1,3.3204672,,0.0008986688223517741,0.02441219042696248
0,SELM,3.3088672,,0.000936742546587406,0.0253350938201758
0,MIF,3.293583,,0.0009891914821564772,0.026695211177847292
0,CXCR4,3.2846215,,0.001021194571646688,0.027498834216891203
0,BTF3,3.2829287,,0.0010273461677380098,0.02760434485487348
0,GPR183,3.2769544,,0.0010493328556609844,0.02813395682422943
0,RP11-664D1.1,3.192468,,0.0014106262755637668,0.037096469714825865
0,BIN1,3.1892817,,0.0014262686825641778,0.037368203490173196
0,TSC22D3,3.1760883,,0.0014927548351907898,0.03892499949991173
0,PIM1,3.168969,,0.0015298072750777995,0.03980719562097179
0,TMEM204,3.1648366,,0.0015516998963414227,0.040207569641048185
0,PCNP,3.1633432,,0.0015596836211096313,0.04032989447053356
0,STMN3,3.1539834,,0.0016105823161731395,0.04147249464145834
0,SCGB3A1,3.135264,,0.0017169954831814647,0.04402917878033797
0,CNBP,3.1264021,,0.001769594328228024,0.045190466729128874
0,NDUFA4,3.1207266,,0.0018040551399712084,0.045975508309369355
0,PPP2R5C,3.1198304,,0.0018095523618486947,0.04602071438775693
0,CCNI,3.1164947,,0.0018301498146760496,0.04644897681600816
0,CCNL1,3.075969,,0.0020981965892443145,0.052798871852713584
0,CISH,3.0754712,,0.0021017026659818027,0.052798871852713584
0,UXT,3.0498314,,0.0022896984320249425,0.056943003259211845
0,CD5,3.0333524,,0.0024185306154812865,0.059905888591881166
0,CDC42SE2,3.0318587,,0.0024305292095435755,0.06008268205991719
0,ABRACL,3.0242414,,0.00249257380327526,0.06137094065434704
0,IL2RG,3.0132885,,0.0025843301200906945,0.06312711518640511
0,NAP1L4,3.0132885,,0.0025843301200906945,0.06312711518640511
0,CRIP2,2.9940214,,0.002753265521631449,0.06698890127433998
0,SEPT1,2.9851098,,0.002834765286516238,0.06883634369615069
0,MFNG,2.9826703,,0.002857456136429549,0.06925128989464553
0,FAM102A,2.9757004,,0.0029232038759108184,0.0705679685669096
0,EEF1G,2.9712694,,0.0029657154448163355,0.07131564766134224
0,RSL1D1,2.9654443,,0.0030224596280654372,0.07237545523659507
0,RPL39,2.964349,,0.0030332394483388405,0.0723761381881623
0,ITK,2.9381618,,0.0033016470215072044,0.07787854424776536
0,PPP1R2,2.9316895,,0.0033712350690012372,0.07936850562448626
0,LINC00861,2.890467,,0.003846700136902,0.08886955830300695
0,NECAP2,2.8717973,,0.004081447647339572,0.09293294513069753
0,TESPA1,2.8716977,,0.004082733754528217,0.09293294513069753
0,MINOS1,2.869557,,0.004110474174071218,0.09339239116088283
0,BEX2,2.8657732,,0.0041599223831817085,0.09416967153136614
0,TSHZ2,2.8638813,,0.0041848483284854035,0.09447723191285372
0,CYLD,2.8617406,,0.004213217353793403,0.09485494807447443
0,TECR,2.8581061,,0.004261778425623309,0.09559996613557914
0,CHURC1,2.7927372,,0.005226411824835715,0.11535437527673112
0,ADTRP,2.7699852,,0.005605884654839413,0.12285236584009777
0,NSMCE1,2.7619197,,0.005746258220209402,0.12504181620033133
0,TSTD1,2.7599783,,0.005780521779707353,0.12556634305304548
0,NDUFA12,2.679823,,0.0073661101774992604,0.15435967160626443
0,SVIP,2.6740477,,0.007494176291226869,0.1567309965474858
0,ATP1A1,2.6559756,,0.0079079344628538,0.16482642489186
0,RIC3,2.6408904,,0.008268845178332042,0.1717696242087127
0,FAU,2.6402433,,0.00828465438239669,0.17180927544701857
0,TBC1D4,2.632875,,0.008466551876822602,0.174120767383573
0,ILF3-AS1,2.6290913,,0.008561339647042922,0.17519562588981874
0,DUSP2,2.6066875,,0.00914227357942122,0.18554762141485434
0,EIF3F,2.6004643,,0.009309769442614415,0.18832856024666803
0,SKP1,2.5867732,,0.009687932734971778,0.19470381886870108
0,BCL2,2.5702941,,0.01016122060571912,0.20322441211438239
0,ADD3,2.5650167,,0.010317080542390595,0.20567599274830284
0,STAT3,2.5415676,,0.011035657897182274,0.21684852125835022
0,CMPK1,2.54102,,0.01105295860782853,0.21684852125835022
0,ATP5H,2.5304155,,0.011392747524722828,0.22280753070502238
0,OST4,2.525885,,0.011540720755674628,0.22534487921032922
0,STT3B,2.5236945,,0.011612878043738648,0.22603964192221998
0,TNFAIP8,2.5224998,,0.011652405046822618,0.22645239996655278
0,CCDC104,2.5177202,,0.011811709250708046,0.22918795343603054
0,SRSF7,2.5058215,,0.012216729857397284,0.236675205387822
0,FOXP1,2.4700253,,0.013510345486619476,0.25690441571479494
0,DDX18,2.4644992,,0.013720487703530555,0.2604995822052806
0,NMRK1,2.4579773,,0.013972203081656209,0.26464957134662814
0,SORL1,2.4563842,,0.014034306901815159,0.26523552493338737
0,SUCLG2,2.4542432,,0.014118142513862968,0.2663750023869851
0,CD28,2.448269,,0.014354444435421719,0.2691541111936789
0,RBL2,2.4174018,,0.01563175267419099,0.2879410775752618
0,GATA3,2.4083905,,0.01602303090974013,0.29427141462761963
0,SERINC5,2.4059012,,0.016132625505560473,0.29496930658095777
0,CD96,2.4032128,,0.01625172720332715,0.29627042512260116
0,TCEA3,2.4023664,,0.0162893817601397,0.2965195265910555
0,RAN,2.4005742,,0.016369373970384293,0.29730267115443654
0,KRT10,2.3776727,,0.017422284475481036,0.31208613929992113
0,LIMS1,2.356215,,0.018462230778130168,0.3278637534736909
0,HNRNPA0,2.3516347,,0.01869112294757751,0.3309774779828911
0,RP11-18H21.1,2.3451128,,0.019021328488728995,0.33586231445812914
0,SSB,2.3295796,,0.0198283853180702,0.347629563874252
0,HMGN1,2.3156893,,0.02057524050102735,0.35818305998971556
0,TNFAIP3,2.3141956,,0.020656989854343655,0.3591004143455522
0,RORA,2.3028944,,0.021284790396484673,0.3674301805873611
0,LGALS3BP,2.2980154,,0.02156091854209317,0.37064388481261695
0,CITED2,2.294132,,0.021782917764720862,0.37342144739521477
0,PIM2,2.285569,,0.022279495205260104,0.3787820642875033
0,NSA2,2.2821834,,0.022478514968590275,0.3816407211700217
0,PCED1B,2.2712305,,0.02313302744791137,0.391141202812838
0,C9orf78,2.2621198,,0.023690008889041575,0.3994659070512331
0,AC013264.2,2.2466364,,0.024663280389194776,0.41138751094527315
0,GIMAP2,2.2372267,,0.02527152239067745,0.4198333558451254
0,USP10,2.2372267,,0.02527152239067745,0.4198333558451254
0,XXbac-BPG299F13.17,2.235285,,0.02539863602045296,0.42081386221554773
0,PTGES3,2.2334929,,0.025516462365214845,0.4216356615428549
0,ARHGEF1,2.232049,,0.02561172166181044,0.42213539684957724
0,CLPP,2.2319992,,0.025615011944755902,0.42213539684957724
0,DDIT4,2.221594,,0.02631075467189204,0.4318737420246821
0,PRMT10,2.2166653,,0.026645977397903853,0.4360303747094514
0,UXS1,2.2157192,,0.026710733280484483,0.4361224086483332
0,TPR,2.1949587,,0.028166568663266923,0.45567904277222404
0,CCNG1,2.1806202,,0.02921151530581776,0.46890172620767206
0,CNIH1,2.1746957,,0.029652924024863764,0.4747540685846064
0,GOLGA7,2.15513,,0.031151670145386914,0.49665636980892064
0,APBA2,2.1496534,,0.031582636229149,0.5017498506327528
0,EIF4B,2.1478114,,0.0317287422282271,0.5027785306934448
0,TNFRSF25,2.1440277,,0.032030670554957015,0.5056182478407008
0,CTC-523E23.11,2.142534,,0.03215052891767095,0.5068629303857308
0,PAG1,2.139099,,0.03242766264215661,0.5092062911533273
0,ATP6V0E2,2.1171434,,0.034247687707720104,0.531785703602287
0,CD8B,2.106738,,0.03514029133291457,0.542772950058878
0,SRP9,2.1063397,,0.035174848947990396,0.542772950058878
0,GCC2,2.1056428,,0.03523539457536516,0.5430292730068745
0,TMEM173,2.0966814,,0.03602179552855471,0.5537679014091246
0,ACTN1,2.093993,,0.03626061448449873,0.5567468261222414
0,ANXA2R,2.0930967,,0.03634052012211949,0.5567950613702892
0,NDNL2,2.0909061,,0.03653647702501552,0.5575195753446813
0,UGP2,2.0893629,,0.03667507755929382,0.5589444619394225
0,SLC38A1,2.0885165,,0.036751274289592635,0.559415948546016
0,SATB1,2.0759704,,0.03789668849711278,0.5733207708987931
0,DAD1,2.0702949,,0.03842474481264421,0.5784772787871894
0,STK17B,2.0688012,,0.038564742042543496,0.5798786029754716
0,CDC25B,2.0659635,,0.0388319312256873,0.5831867192581957
0,HSPB1,2.0628269,,0.03912907371249973,0.5869339462445788
0,PLEKHB1,2.060039,,0.039394819280842264,0.5880675921632976
0,AKTIP,2.0591428,,0.039480562249518944,0.5881404459627629
0,ETS1,2.0417178,,0.041179538312455764,0.6110193199783351
0,FBLN5,2.0338516,,0.04196656289174215,0.6197212871468734
0,EPB41L4A-AS1,2.0290225,,0.042456014416177544,0.6254545151179434
0,LPAR6,2.0262344,,0.04274077643836508,0.6281521959312633
0,MRPS21,2.0246909,,0.042899105809996514,0.6297303418189513
0,ATM,2.0223012,,0.043145239034053165,0.6325921167982173
0,TBCC,2.0163767,,0.04376059596190706,0.639339203415096
0,SNHG8,2.0075645,,0.04468957486723993,0.6498389945401006
0,C19orf60,1.9989517,,0.04561358102276151,0.6606364161509138
0,IL23A,1.9926289,,0.04630209945105817,0.6685676976811671
0,HSPD1,1.9894426,,0.04665237220383806,0.6728393470705233
0,STK4,1.9878992,,0.04682283566433013,0.6745107795001404
0,CNN2,1.9831198,,0.047354050459400464,0.6782109660233948
0,FKBP5,1.9786888,,0.047851049088019536,0.6821143472852605
0,HNRNPDL,1.9778425,,0.0479464783602527,0.6821143472852605
0,NAE1,1.973312,,0.04846002905736297,0.6868875678314293
0,C1QBP,1.9696776,,0.04887533050470604,0.6903989543293333
0,PRKCA,1.9691299,,0.04893816845124824,0.6904974452710367
0,TC2N,1.9674373,,0.04913282372298349,0.6924534791517399
0,UBE2D3,1.9641514,,0.04951253905856557,0.6965419786890117
0,UBE2D2,1.9614131,,0.049830846089664704,0.6983098159504033
0,LYRM5,1.9566835,,0.050384690512226965,0.7052715455618633
0,TTC3,1.9534475,,0.05076660146965619,0.7089516330585751
0,BEX4,1.9464774,,0.0515974195506702,0.7181802991512205
0,ZNF101,1.9214351,,0.054676874270987934,0.7584805454426609
0,REXO2,1.92029,,0.054821272837189745,0.7595637045786469
0,TBC1D10C,1.9164068,,0.055313342200580796,0.76388034592087
0,HAX1,1.9154608,,0.05543376121077622,0.7643610519383232
0,TOB1,1.9151621,,0.05547183362367928,0.7643610519383232
0,DAP3,1.9089887,,0.056263554672599754,0.773545645999258
0,KMT2E,1.9075449,,0.056450066472261494,0.7743871493864063
0,PSMC5,1.8933061,,0.05831717227890591,0.7958561156607352
0,SPCS1,1.8897215,,0.058795212413013255,0.7998220631068491
0,GRAP2,1.8895224,,0.05882186532072216,0.7998220631068491
0,ATPIF1,1.8862365,,0.059263088551332534,0.8049360159279891
0,TNFRSF4,1.884942,,0.059437656256782684,0.8064208905969638
0,TRAM1,1.8799137,,0.060119837415366396,0.8147820070766761
